target_id	length	eff_length	est_counts	tpm
ENSMUST00000167409.2	307	128	0	0
ENSMUST00000103600.3	354	175	0	0
ENSMUST00000179701.2	343	164	0	0
ENSMUST00000178650.3	358	179	0	0
ENSMUST00000196756.2	380	201	0	0
ENSMUST00000179512.3	391	212	0	0
ENSMUST00000198439.5	337	158	0	0
ENSMUST00000103605.3	334	155	0	0
ENSMUST00000103606.2	353	174	0	0
ENSMUST00000196079.2	331	152	0	0
ENSMUST00000103607.3	264	85.0011	0	0
ENSMUST00000103608.4	456	277	0	0
ENSMUST00000103609.2	341	162	0	0
ENSMUST00000103611.2	338	159	0	0
ENSMUST00000103612.2	343	164	0	0
ENSMUST00000181793.3	365	186	0	0
ENSMUST00000103613.3	287	108	0	0
ENSMUST00000199753.2	340	161	0	0
ENSMUST00000198682.2	436	257	0	0
ENSMUST00000103587.4	344	165	0	0
ENSMUST00000198359.2	331	152	0	0
ENSMUST00000196639.2	415	236	0	0
ENSMUST00000177578.2	340	161	0	0
ENSMUST00000197433.5	352	173	0	0
ENSMUST00000103590.4	349	170	0	0
ENSMUST00000198913.5	340	161	0	0
ENSMUST00000180097.2	337	158	0	0
ENSMUST00000103618.2	331	152	0	0
ENSMUST00000196674.2	454	275	0	0
ENSMUST00000103619.3	341	162	0	0
ENSMUST00000177705.3	575	396	0	0
ENSMUST00000179583.3	353	174	0	0
ENSMUST00000196941.2	331	152	0	0
ENSMUST00000103622.3	264	85.0011	0	0
ENSMUST00000197614.2	464	285	0	0
ENSMUST00000103623.3	276	97.0001	0	0
ENSMUST00000199112.2	398	219	0	0
ENSMUST00000197557.2	427	248	0	0
ENSMUST00000103625.3	276	97.0001	0	0
ENSMUST00000103626.3	595	416	0	0
ENSMUST00000103627.3	354	175	0	0
ENSMUST00000179997.2	343	164	0	0
ENSMUST00000179607.3	358	179	0	0
ENSMUST00000178100.3	381	202	0	0
ENSMUST00000179580.3	337	158	0	0
ENSMUST00000103632.4	408	229	0	0
ENSMUST00000199280.2	412	233	0	0
ENSMUST00000103633.2	353	174	0	0
ENSMUST00000196105.2	432	253	0	0
ENSMUST00000103634.3	267	88.0006	0	0
ENSMUST00000103652.5	361	182	0	0
ENSMUST00000103635.3	280	101	0	0
ENSMUST00000103636.4	336	157	0	0
ENSMUST00000103637.6	370	191	0	0
ENSMUST00000180549.3	388	209	0	0
ENSMUST00000183604.2	305	126	0	0
ENSMUST00000177622.4	402	223	0	0
ENSMUST00000180711.3	378	199	0	0
ENSMUST00000184650.2	338	159	0	0
ENSMUST00000181728.3	451	272	0	0
ENSMUST00000103643.4	328	149	0	0
ENSMUST00000103581.6	398	219	0	0
ENSMUST00000181210.3	375	196	0	0
ENSMUST00000183488.2	335	156	0	0
ENSMUST00000103583.5	406	227	0	0
ENSMUST00000103584.4	344	165	0	0
ENSMUST00000103585.4	343	164	0	0
ENSMUST00000200609.2	337	158	0	0
ENSMUST00000200115.2	416	237	0	0
ENSMUST00000103650.3	344	165	0	0
ENSMUST00000103651.4	331	152	0	0
ENSMUST00000198297.2	399	220	0	0
ENSMUST00000200101.2	396	217	0	0
ENSMUST00000103653.3	349	170	0	0
ENSMUST00000103654.3	563	384	0	0
ENSMUST00000103655.3	411	232	0	0
ENSMUST00000180972.3	426	247	0	0
ENSMUST00000103657.6	442	263	0	0
ENSMUST00000103658.4	390	211	0	0
ENSMUST00000179267.4	387	208	0	0
ENSMUST00000184874.2	276	97.0001	0	0
ENSMUST00000103660.4	370	191	0	0
ENSMUST00000181768.3	419	240	0	0
ENSMUST00000183835.2	276	97.0001	0	0
ENSMUST00000103662.6	395	216	0	0
ENSMUST00000103663.6	361	182	0	0
ENSMUST00000103664.6	343	164	0	0
ENSMUST00000103638.6	379	200	0	0
ENSMUST00000103641.6	381	202	0	0
ENSMUST00000184687.2	275	96.0001	0	0
ENSMUST00000103667.6	420	241	0	0
ENSMUST00000180380.3	385	206	0	0
ENSMUST00000184905.2	264	85.0011	0	0
ENSMUST00000103589.6	384	205	0	0
ENSMUST00000103670.4	458	279	0	0
ENSMUST00000103671.4	426	247	0	0
ENSMUST00000103672.9	341	162	0	0
ENSMUST00000186545.2	338	159	0	0
ENSMUST00000103673.11	328	149	0	0
ENSMUST00000186573.2	325	146	0	0
ENSMUST00000103674.6	446	267	0	0
ENSMUST00000180938.3	360	181	0	0
ENSMUST00000103676.9	337	158	0	0
ENSMUST00000187163.2	334	155	0	0
ENSMUST00000197130.5	348	169	0	0
ENSMUST00000103677.3	345	166	0	0
ENSMUST00000103678.4	397	218	0	0
ENSMUST00000199137.2	347	168	0	0
ENSMUST00000103679.3	444	265	0	0
ENSMUST00000103685.3	438	259	0	0
ENSMUST00000103553.3	368	189	0	0
ENSMUST00000103554.5	426	247	0	0
ENSMUST00000198330.2	376	197	0	0
ENSMUST00000103555.3	403	224	0	0
ENSMUST00000199017.2	341	162	0	0
ENSMUST00000103556.3	293	114	0	0
ENSMUST00000103559.3	350	171	0	0
ENSMUST00000198663.5	353	174	0	0
ENSMUST00000103563.3	491	312	0	0
ENSMUST00000103564.3	374	195	0	0
ENSMUST00000103262.3	417	238	0	0
ENSMUST00000103263.3	560	381	0	0
ENSMUST00000103264.3	455	276	0	0
ENSMUST00000103265.5	393	214	0	0
ENSMUST00000103266.3	368	189	0	0
ENSMUST00000103267.3	389	210	0	0
ENSMUST00000238885.2	3078	2899	0	0
ENSMUST00000239057.2	1626	1447	0	0
ENSMUST00000182769.10	1477	1298	0	0
ENSMUST00000088673.5	531	352	0	0
ENSMUST00000205127.2	936	757	0	0
ENSMUST00000195764.2	4615	4436	0	0
ENSMUST00000096114.13	1597	1418	0	0
ENSMUST00000163093.2	1378	1199	0	0
ENSMUST00000206214.3	1054	875	0	0
ENSMUST00000205727.3	1141	962	0	0
ENSMUST00000207772.3	1320	1141	0	0
ENSMUST00000134042.3	687	508	0	0
ENSMUST00000235482.2	1036	857	0	0
ENSMUST00000135184.8	2967	2788	0	0
ENSMUST00000155233.8	2790	2611	0	0
ENSMUST00000113768.8	2695	2516	0	0
ENSMUST00000238205.2	1418	1239	0	0
ENSMUST00000238262.2	925	746	0	0
ENSMUST00000231995.2	352	173	0	0
ENSMUST00000231461.2	755	576	0	0
ENSMUST00000231455.2	409	230	0	0
ENSMUST00000142883.3	481	302	0	0
ENSMUST00000232193.3	908	729	0	0
ENSMUST00000023655.13	3385	3206	0	0
ENSMUST00000232282.3	1401	1222	0	0
ENSMUST00000190447.8	2476	2297	0	0
ENSMUST00000188251.7	2421	2242	0	0
ENSMUST00000190097.2	649	470	0	0
ENSMUST00000191103.2	537	358	0	0
ENSMUST00000024112.8	2417	2238	0	0
ENSMUST00000239412.2	2696	2517	0	0
ENSMUST00000161670.3	5421	5242	0	0
ENSMUST00000232790.2	8293	8114	0	0
ENSMUST00000233023.2	6653	6474	0	0
ENSMUST00000159734.4	2715	2536	0	0
ENSMUST00000159611.10	2939	2760	0	0
ENSMUST00000119267.2	955	776	0	0
ENSMUST00000126664.8	6052	5873	0	0
ENSMUST00000156937.2	2191	2012	0	0
ENSMUST00000136350.8	3488	3309	0	0
ENSMUST00000146393.8	2484	2305	0	0
ENSMUST00000169617.3	761	582	0	0
ENSMUST00000094710.8	2365	2186	0	0
ENSMUST00000121432.4	2321	2142	0	0
ENSMUST00000194208.6	1527	1348	0	0
ENSMUST00000192481.2	1131	952	0	0
ENSMUST00000041920.5	1243	1064	0	0
ENSMUST00000209914.2	959	780	0	0
ENSMUST00000072887.5	966	787	0	0
ENSMUST00000211596.2	921	742	0	0
ENSMUST00000213169.2	2658	2479	0	0
ENSMUST00000055276.6	1260	1081	0	0
ENSMUST00000100960.11	2692	2513	0	0
ENSMUST00000171587.2	1329	1150	0	0
ENSMUST00000071242.5	934	755	0	0
ENSMUST00000214399.4	897	718	0	0
ENSMUST00000174854.3	1156	977	0	0
ENSMUST00000172979.4	998	819	0	0
ENSMUST00000116010.3	172	14.0216	0	0
ENSMUST00000211893.2	1128	949	0	0
ENSMUST00000211998.2	932	753	0	0
ENSMUST00000213589.2	935	756	0	0
ENSMUST00000215139.2	932	753	0	0
ENSMUST00000215191.2	933	754	0	0
ENSMUST00000215291.2	572	393	0	0
ENSMUST00000216912.2	937	758	0	0
ENSMUST00000178303.2	936	757	0	0
ENSMUST00000214075.3	2165	1986	0	0
ENSMUST00000214936.2	2168	1989	0	0
ENSMUST00000215471.2	2177	1998	0	0
ENSMUST00000215546.2	949	770	0	0
ENSMUST00000117982.2	932	753	0	0
ENSMUST00000217577.2	914	735	0	0
ENSMUST00000217438.2	943	764	0	0
ENSMUST00000208396.2	925	746	0	0
ENSMUST00000208760.2	923	744	0	0
ENSMUST00000207287.3	1208	1029	0	0
ENSMUST00000174177.2	915	736	0	0
ENSMUST00000174248.8	519	340	0	0
ENSMUST00000173567.2	1252	1073	0	0
ENSMUST00000118957.2	930	751	0	0
ENSMUST00000117787.4	2501	2322	0	0
ENSMUST00000214356.3	4698	4519	0	0
ENSMUST00000174262.4	2395	2216	0	0
ENSMUST00000173904.4	1102	923	0	0
ENSMUST00000195589.6	2272	2093	0	0
ENSMUST00000184581.3	707	528	0	0
ENSMUST00000184861.4	655	476	0	0
ENSMUST00000112076.9	2277	2098	0	0
ENSMUST00000041987.8	9851	9672	28	0.971344
ENSMUST00020183813.1	691	512	0	0
ENSMUST00000222528.2	4724	4545	0	0
ENSMUST00000222115.2	2543	2364	0	0
ENSMUST00000222519.2	647	468	0	0
ENSMUST00020183808.1	626	447	0	0
ENSMUST00000221293.2	6904	6725	0	0
ENSMUST00000222002.3	1460	1281	0	0
ENSMUST00020183809.1	446	267	0	0
ENSMUST00000184850.8	1072	893	0	0
ENSMUST00000173080.10	1138	959	0	0
ENSMUST00000185167.8	836	657	0	0
ENSMUST00000195838.6	1105	926	0	0
ENSMUST00000194244.6	862	683	0	0
ENSMUST00000185087.8	1064	885	0	0
ENSMUST00000195833.6	829	650	0	0
ENSMUST00000184502.8	862	683	0	0
ENSMUST00000183560.8	316	137	0	0
ENSMUST00000183999.8	358	179	0	0
ENSMUST00000192532.2	995	816	0	0
ENSMUST00000174625.8	3389	3210	0	0
ENSMUST00000174382.8	1699	1520	0	0
ENSMUST00000166442.3	1481	1302	39	10.0504
ENSMUST00000213073.2	929	750	0	0
ENSMUST00000094105.5	946	767	0	0
ENSMUST00000177481.4	2573	2394	0	0
ENSMUST00000175971.3	2721	2542	0	0
ENSMUST00000234658.2	1287	1108	0	0
ENSMUST00000222301.2	929	750	0	0
ENSMUST00000069063.5	390	211	0	0
ENSMUST00000118068.3	3462	3283	0	0
ENSMUST00000194248.2	936	757	0	0
ENSMUST00000179719.2	1296	1117	0	0
ENSMUST00000106393.8	843	664	6.5098	3.28951
ENSMUST00000132882.2	741	562	46.4902	27.756
ENSMUST00000006562.6	910	731	0	0
ENSMUST00000189634.7	651	472	0	0
ENSMUST00000056590.6	650	471	0	0
ENSMUST00000208970.3	2764	2585	0	0
ENSMUST00000219487.2	2956	2777	0	0
ENSMUST00000174025.3	3121	2942	0	0
ENSMUST00000174673.3	919	740	0	0
ENSMUST00000173185.2	1458	1279	0	0
ENSMUST00000122808.2	3794	3615	0	0
ENSMUST00000077820.6	1581	1402	0	0
ENSMUST00000202355.2	928	749	0	0
ENSMUST00000182120.2	717	538	0	0
ENSMUST00000183317.8	6108	5929	0	0
ENSMUST00000182570.2	446	267	0	0
ENSMUST00000182012.2	241	62.0706	0	0
ENSMUST00000183089.2	359	180	0	0
ENSMUST00000182718.2	593	414	0	0
ENSMUST00000182541.8	404	225	0	0
ENSMUST00000182387.2	375	196	0	0
ENSMUST00000183328.2	374	195	0	0
ENSMUST00000183212.2	362	183	0	0
ENSMUST00000086432.7	291	112	0	0
ENSMUST00000182725.2	558	379	0	0
ENSMUST00000183291.2	1837	1658	0.405615	0.0820844
ENSMUST00000086377.9	1832	1653	8.59439	1.74451
ENSMUST00000183378.3	937	758	0	0
ENSMUST00000117959.3	963	784	0	0
ENSMUST00000121614.2	952	773	0	0
ENSMUST00000217546.2	852	673	0	0
ENSMUST00000105781.8	784	605	0	0
ENSMUST00000153282.2	956	777	0	0
ENSMUST00000037059.12	953	774	0	0
ENSMUST00000136064.2	310	131	0	0
ENSMUST00000135748.2	788	609	0	0
ENSMUST00000134898.2	462	283	0	0
ENSMUST00000147728.2	557	378	0	0
ENSMUST00000084695.12	1595	1416	0	0
ENSMUST00000108038.3	1859	1680	0	0
ENSMUST00000135734.8	674	495	0	0
ENSMUST00000151490.8	1218	1039	0	0
ENSMUST00000132760.8	829	650	0	0
ENSMUST00000150908.8	723	544	0	0
ENSMUST00000147719.8	876	697	0	0
ENSMUST00000130698.8	1007	828	0	0
ENSMUST00000154275.8	900	721	0	0
ENSMUST00000133106.2	857	678	23	11.3823
ENSMUST00000201125.4	1352	1173	0	0
ENSMUST00000006814.9	1309	1130	0	0
ENSMUST00000179386.2	1050	871	0	0
ENSMUST00000173420.2	1257	1078	0	0
ENSMUST00000172762.2	3466	3287	0	0
ENSMUST00000194951.2	1194	1015	0	0
ENSMUST00000209871.3	2792	2613	0	0
ENSMUST00000210949.3	2821	2642	0	0
ENSMUST00000210779.2	951	772	0	0
ENSMUST00000118378.2	948	769	0	0
ENSMUST00000209201.2	477	298	0	0
ENSMUST00000134011.4	1136	957	0	0
ENSMUST00000117349.8	934	755	0	0
ENSMUST00000134773.4	1513	1334	0	0
ENSMUST00000118336.4	2129	1950	0	0
ENSMUST00000143750.4	1675	1496	0	0
ENSMUST00000205791.2	633	454	0	0
ENSMUST00000115991.4	1237	1058	0	0
ENSMUST00000121065.3	972	793	0	0
ENSMUST00000118809.3	971	792	0	0
ENSMUST00000208175.2	2235	2056	0	0
ENSMUST00000121340.2	945	766	0	0
ENSMUST00000216831.3	1270	1091	0	0
ENSMUST00000121914.3	1042	863	0	0
ENSMUST00000216665.3	4530	4351	0	0
ENSMUST00000149775.3	1209	1030	0	0
ENSMUST00000213225.3	1212	1033	0	0
ENSMUST00000117704.2	943	764	0	0
ENSMUST00000118736.4	984	805	0	0
ENSMUST00000117860.2	950	771	0	0
ENSMUST00000223545.2	939	760	0	0
ENSMUST00000192856.6	737	558	0	0
ENSMUST00000103291.2	512	333	0	0
ENSMUST00000103299.3	692	513	0	0
ENSMUST00000196323.2	3865	3686	0	0
ENSMUST00000198398.5	935	756	0	0
ENSMUST00000103740.2	413	234	0	0
ENSMUST00000103558.3	924	745	0	0
ENSMUST00000164407.2	519	340	0	0
ENSMUST00000198163.2	648	469	0	0
ENSMUST00000103561.3	914	735	0	0
ENSMUST00000179181.3	985	806	0	0
ENSMUST00000103405.2	38	3.25322	0	0
ENSMUST00000198234.2	39	3.27105	0	0
ENSMUST00000103406.2	43	3.34471	0	0
ENSMUST00000103427.2	54	3.56892	0	0
ENSMUST00000199487.2	38	3.25322	0	0
ENSMUST00000103407.3	36	3.21825	0	0
ENSMUST00000103408.2	38	3.25322	0	0
ENSMUST00000199459.2	38	3.25322	0	0
ENSMUST00000103409.2	42	3.32593	0	0
ENSMUST00000103428.2	48	3.44246	0	0
ENSMUST00000192746.2	48	3.44246	0	0
ENSMUST00000103429.2	54	3.56892	0	0
ENSMUST00000103430.2	53	3.5471	0	0
ENSMUST00000199490.2	38	3.25322	0	0
ENSMUST00000200074.2	38	3.25322	0	0
ENSMUST00000200211.2	38	3.25322	0	0
ENSMUST00000198313.2	42	3.32593	0	0
ENSMUST00000197969.2	38	3.25322	0	0
ENSMUST00000194738.6	2540	2361	0	0
ENSMUST00000178282.3	1100	921	0	0
ENSMUST00000223335.2	1460	1281	0	0
ENSMUST00000137336.3	1367	1188	0	0
ENSMUST00000103416.9	1214	1035	0	0
ENSMUST00000195192.2	1111	932	0	0
ENSMUST00000192188.3	2566	2387	0	0
ENSMUST00000103418.3	1114	935	0	0
ENSMUST00000194304.6	2482	2303	0	0
ENSMUST00000103420.3	1076	897	0	0
ENSMUST00000223179.2	2414	2235	0	0
ENSMUST00000103423.3	1082	903	0	0
ENSMUST00000194162.6	1806	1627	0	0
ENSMUST00000192250.2	802	623	0	0
ENSMUST00000177715.8	1698	1519	0	0
ENSMUST00000103426.3	1493	1314	27	6.89445
ENSMUST00000103410.3	532	353	0	0
ENSMUST00000200568.2	454	275	0	0
ENSMUST00000200235.2	452	273	0	0
ENSMUST00000197046.2	314	135	0	0
ENSMUST00000198182.2	458	279	0	0
ENSMUST00000103749.3	606	427	0	0
ENSMUST00000103302.3	501	322	0	0
ENSMUST00000103303.3	394	215	0	0
ENSMUST00000103304.3	374	195	0	0
ENSMUST00000103305.2	362	183	0	0
ENSMUST00000103306.2	362	183	0	0
ENSMUST00000196006.5	353	174	0	0
ENSMUST00000103307.3	350	171	0	0
ENSMUST00000200578.5	353	174	0	0
ENSMUST00000103308.3	350	171	0	0
ENSMUST00000200586.2	359	180	0	0
ENSMUST00000103309.3	341	162	0	0
ENSMUST00000103310.3	358	179	0	0
ENSMUST00000197406.5	353	174	0	0
ENSMUST00000103311.3	350	171	0	0
ENSMUST00000196768.2	353	174	0	0
ENSMUST00000103312.3	287	108	0	0
ENSMUST00000103313.3	377	198	0	0
ENSMUST00000103314.3	383	204	0	0
ENSMUST00000197515.2	359	180	0	0
ENSMUST00000103315.3	350	171	0	0
ENSMUST00000103316.2	353	174	0	0
ENSMUST00000103317.3	404	225	0	0
ENSMUST00000103318.6	361	182	0	0
ENSMUST00000103319.3	358	179	0	0
ENSMUST00000103320.3	368	189	0	0
ENSMUST00000103321.3	401	222	0	0
ENSMUST00000103322.3	374	195	0	0
ENSMUST00000103323.3	378	199	0	0
ENSMUST00000103324.3	375	196	0	0
ENSMUST00000200406.2	339	160	0	0
ENSMUST00000199510.5	353	174	0	0
ENSMUST00000103325.3	350	171	0	0
ENSMUST00000168090.3	376	197	0	0
ENSMUST00000103326.3	359	180	0	0
ENSMUST00000196839.5	347	168	0	0
ENSMUST00000103327.3	344	165	0	0
ENSMUST00000103328.3	359	180	0	0
ENSMUST00000198735.2	347	168	0	0
ENSMUST00000103329.3	287	108	0	0
ENSMUST00000103330.2	347	168	0	0
ENSMUST00000196863.2	363	184	0	0
ENSMUST00000183936.2	344	165	0	0
ENSMUST00000103332.2	351	172	0	0
ENSMUST00000103333.4	358	179	0	0
ENSMUST00000103334.4	352	173	0	0
ENSMUST00000199143.5	338	159	0	0
ENSMUST00000103335.3	335	156	0	0
ENSMUST00000103336.2	362	183	0	0
ENSMUST00000198756.2	353	174	0	0
ENSMUST00000200454.2	378	199	0	0
ENSMUST00000103337.3	340	161	0	0
ENSMUST00000114212.4	347	168	0	0
ENSMUST00000103339.2	347	168	0	0
ENSMUST00000197966.2	358	179	0	0
ENSMUST00000103340.3	290	111	0	0
ENSMUST00000103341.4	348	169	0	0
ENSMUST00000103342.4	358	179	0	0
ENSMUST00000103343.4	358	179	0	0
ENSMUST00000103344.3	394	215	0	0
ENSMUST00000103346.3	402	223	0	0
ENSMUST00000196201.2	352	173	0	0
ENSMUST00000101325.4	288	109	0	0
ENSMUST00000103348.3	379	200	0	0
ENSMUST00000196595.2	352	173	0	0
ENSMUST00000103351.3	286	107	0	0
ENSMUST00000198345.2	352	173	0	0
ENSMUST00000177795.2	288	109	0	0
ENSMUST00000199160.2	382	203	0	0
ENSMUST00000103353.3	284	105	0	0
ENSMUST00000103354.3	368	189	0	0
ENSMUST00000197448.2	358	179	0	0
ENSMUST00000103355.3	292	113	0	0
ENSMUST00000103356.4	373	194	0	0
ENSMUST00000103357.4	352	173	0	0
ENSMUST00000103359.3	379	200	0	0
ENSMUST00000199437.2	352	173	0	0
ENSMUST00000177697.2	288	109	0	0
ENSMUST00000198328.2	367	188	0	0
ENSMUST00000166380.2	292	113	0	0
ENSMUST00000103345.4	394	215	0	0
ENSMUST00000103363.2	352	173	0	0
ENSMUST00000103364.3	360	181	0	0
ENSMUST00000103365.3	377	198	0	0
ENSMUST00000103366.3	385	206	0	0
ENSMUST00000103367.3	401	222	0	0
ENSMUST00000103368.3	379	200	0	0
ENSMUST00000103369.2	347	168	0	0
ENSMUST00000197290.2	347	168	0	0
ENSMUST00000103370.3	287	108	0	0
ENSMUST00000198880.5	347	168	0	0
ENSMUST00000103371.3	344	165	0	0
ENSMUST00000103372.3	359	180	0	0
ENSMUST00000200160.5	341	162	0	0
ENSMUST00000103373.3	344	165	0	0
ENSMUST00000197820.5	362	183	0	0
ENSMUST00000103374.3	359	180	0	0
ENSMUST00000196959.2	365	186	0	0
ENSMUST00000197429.5	365	186	0	0
ENSMUST00000103376.3	362	183	0	0
ENSMUST00000103377.3	366	187	0	0
ENSMUST00000103378.3	368	189	0	0
ENSMUST00000197371.2	375	196	0	0
ENSMUST00000103379.3	344	165	0	0
ENSMUST00000197525.2	370	191	0	0
ENSMUST00000103380.3	305	126	0	0
ENSMUST00000197272.2	360	181	0	0
ENSMUST00000103381.3	300	121	0	0
ENSMUST00000103382.2	371	192	0	0
ENSMUST00000103383.3	380	201	0	0
ENSMUST00000103384.2	365	186	0	0
ENSMUST00000196275.2	344	165	0	0
ENSMUST00000103386.3	369	190	0	0
ENSMUST00000103387.3	382	203	0	0
ENSMUST00000103388.4	375	196	0	0
ENSMUST00000196599.2	370	191	0	0
ENSMUST00000103389.3	305	126	0	0
ENSMUST00000103390.3	395	216	0	0
ENSMUST00000103391.4	377	198	0	0
ENSMUST00000195945.2	379	200	0	0
ENSMUST00000103392.3	362	183	0	0
ENSMUST00000103393.2	347	168	0	0
ENSMUST00000103394.2	347	168	0	0
ENSMUST00000198184.2	359	180	0	0
ENSMUST00000103395.2	287	108	0	0
ENSMUST00000103396.2	359	180	0	0
ENSMUST00000196940.2	359	180	0	0
ENSMUST00000103397.3	356	177	0	0
ENSMUST00000103398.2	359	180	0	0
ENSMUST00000197560.2	359	180	0	0
ENSMUST00000103399.3	299	120	0	0
ENSMUST00000103400.3	382	203	0	0
ENSMUST00000103401.3	360	181	0	0
ENSMUST00000103402.2	359	180	0	0
ENSMUST00000103403.3	378	199	0	0
ENSMUST00000103404.2	359	180	0	0
ENSMUST00000195468.6	353	174	0	0
ENSMUST00000103442.3	350	171	0	0
ENSMUST00000103443.3	352	173	0	0
ENSMUST00000103444.3	425	246	0	0
ENSMUST00000178229.3	347	168	0	0
ENSMUST00000103446.2	353	174	0	0
ENSMUST00000103447.2	350	171	0	0
ENSMUST00000103448.3	418	239	0	0
ENSMUST00000195707.3	480	301	0	0
ENSMUST00000103449.4	347	168	0	0
ENSMUST00000103450.4	353	174	0	0
ENSMUST00000179657.2	350	171	0	0
ENSMUST00000192264.2	413	234	0	0
ENSMUST00000103452.3	350	171	0	0
ENSMUST00000195381.2	353	174	0	0
ENSMUST00000180013.3	369	190	0	0
ENSMUST00000192911.2	350	171	0	0
ENSMUST00000103455.3	342	163	0	0
ENSMUST00000103456.4	355	176	0	0
ENSMUST00000192877.2	361	182	0	0
ENSMUST00000103457.3	350	171	0	0
ENSMUST00000193652.2	380	201	0	0
ENSMUST00000103458.3	350	171	0	0
ENSMUST00000103459.5	405	226	0	0
ENSMUST00000103451.5	362	183	0	0
ENSMUST00000103474.5	363	184	0	0
ENSMUST00000193133.3	357	178	0	0
ENSMUST00000103462.4	354	175	0	0
ENSMUST00000103463.3	351	172	0	0
ENSMUST00000103464.3	414	235	0	0
ENSMUST00000103478.4	350	171	0	0
ENSMUST00000103466.2	353	174	0	0
ENSMUST00000103467.2	351	172	0	0
ENSMUST00000103468.3	461	282	0	0
ENSMUST00000103469.4	399	220	0	0
ENSMUST00000195641.2	353	174	0	0
ENSMUST00000103470.2	299	120	0	0
ENSMUST00000195884.2	351	172	0	0
